name,address,latitude,longitude,rating,user_ratings_total,type,state
Famous Kabob & Karahi Zabiha Halal,"9711 Fort Meade Rd, Laurel",39.0952297,-76.8374994,3.9,256,Desi,MD
Sakina's Kabab and Gyros,"1100 S Hayes St, Arlington",38.8631596,-77.0612117,4.6,108,Desi,VA
Shahi kabob palace,"8521 Manassas Dr, Manassas Park",38.7707785,-77.4516866,4.3,213,Desi,VA
Kabob BQ,"2246 Robert S. Crain Hwy, Waldorf",38.6495573,-76.8844067,4.8,522,Afghan,MD
Zam Zam Kabob House,"9091 Mathis Ave, Manassas",38.7596002,-77.4638317,4.4,619,Desi,VA
Kabob Nook,"24651 Southpoint Dr, Chantilly",38.9353309,-77.5408945,4.6,137,Mediterranean,VA
City Kabob House,"On the rear side of 7Eleven, 3007 Columbia Pike, Arlington",38.8627531,-77.0882859,4,337,Desi,VA
VA Kabob House,"7031 Brookfield Plaza, Springfield",38.7735187,-77.184808,4.2,265,Middle Eastern,VA
Halal Kabab House,"6245 Little River Turnpike, Alexandria",38.8164346,-77.1430616,3.6,369,Afghan,VA
City Kabob & Curry House -2 (D.C),"204 Michigan Ave NE, Washington",38.9297076,-77.004331,4.6,781,Desi,DC
Aladdin House of Kabob and Gyros,"Ground level, 2132 Wisconsin Ave NW, Washington",38.9184678,-77.0704098,4.7,108,Mediterranean,DC
Royal Palace Kabob,"6301 Little River Turnpike #140, Alexandria",38.8180109,-77.1436989,3.9,988,Desi,VA
Moby Dick House of Kabob,"9940-A, Fairfax Blvd, Fairfax",38.8635804,-77.2877554,4.1,355,Persian,VA
Kabob and Curry House - Halal,"2913 Arlington Dr, Alexandria",38.753924,-77.0817337,3.5,138,Desi,VA
Moby Dick House of Kabob,"105 Market St, Gaithersburg",39.1227395,-77.2352846,4.2,378,Persian,MD
Moby Dick House of Kabob,"Ashbrook Commons Shopping Center, 20020 Ashbrook Commons Plaza #103, Ashburn",39.0612009,-77.4703179,4.4,706,Persian,VA
Moby Dick House of Kabob,"12975-A, Highland Crossing Dr, Herndon",38.9496067,-77.3959886,4.1,376,Persian,VA
